s1_t,s1_v,s1_data,s2_t,s2_v,s2_data,s3_t,s3_v,s3_data,s4_t,s4_v,s4_data,ancient,efficiency,set,slot,grade,level,m_t,i_t,i_v
SPD,15,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",ATK%,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.4,Guard,1,6,9,ATK flat,CRate,4
ATK%,13,"{""enchanted"":false,""gvalue"":7}",HP%,12,"{""enchanted"":false,""gvalue"":5}",CDmg,23,"{""enchanted"":false,""gvalue"":0}",ACC,7,"{""enchanted"":false,""gvalue"":0}",FALSE,94.9,Guard,1,6,12,ATK flat,RES,8
ATK%,17,"{""enchanted"":false,""gvalue"":9}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",CRate,13,"{""enchanted"":false,""gvalue"":0}",SPD,9,"{""enchanted"":false,""gvalue"":3}",FALSE,88.31,Guard,1,6,12,ATK flat,,0
HP%,6,"{""enchanted"":false,""gvalue"":0}",ATK%,32,"{""enchanted"":false,""gvalue"":5}",CRate,4,"{""enchanted"":true,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",FALSE,86.61,Guard,1,6,12,ATK flat,RES,7
HP%,22,"{""enchanted"":false,""gvalue"":6}",SPD,14,"{""enchanted"":false,""gvalue"":4}",ATK%,12,"{""enchanted"":false,""gvalue"":6}",ACC,20,"{""enchanted"":false,""gvalue"":0}",FALSE,105.36,Guard,1,6,12,ATK flat,CRate,4
SPD,6,"{""enchanted"":false,""gvalue"":0}",ACC,11,"{""enchanted"":false,""gvalue"":0}",ATK%,20,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,70.54,Guard,1,6,9,ATK flat,,0
RES,8,"{""enchanted"":false,""gvalue"":0}",HP%,12,"{""enchanted"":false,""gvalue"":0}",CRate,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,69.62,Guard,1,6,6,ATK flat,HP flat,185
RES,8,"{""enchanted"":false,""gvalue"":0}",ATK%,30,"{""enchanted"":false,""gvalue"":6}",SPD,15,"{""enchanted"":false,""gvalue"":3}",HP flat,752,"{""enchanted"":false,""gvalue"":436}",FALSE,100.02,Guard,1,6,12,ATK flat,HP%,6
ACC,14,"{""enchanted"":false,""gvalue"":0}",ATK%,10,"{""enchanted"":false,""gvalue"":0}",RES,21,"{""enchanted"":false,""gvalue"":0}",,0,{},TRUE,77.94,Guard,1,6,9,ATK flat,HP flat,215
DEF%,19,"{""enchanted"":false,""gvalue"":4}",ACC,13,"{""enchanted"":false,""gvalue"":0}",ATK%,20,"{""enchanted"":false,""gvalue"":5}",,0,{},FALSE,87.5,Guard,2,6,9,SPD,HP%,6
CDmg,5,"{""enchanted"":false,""gvalue"":0}",CRate,12,"{""enchanted"":false,""gvalue"":0}",SPD,15,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75.1,Guard,2,6,9,DEF%,ATK flat,12
HP%,6,"{""enchanted"":false,""gvalue"":0}",DEF%,27,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75,Guard,2,6,9,ATK%,DEF flat,15
DEF%,30,"{""enchanted"":false,""gvalue"":6}",SPD,6,"{""enchanted"":false,""gvalue"":2}",ACC,6,"{""enchanted"":true,""gvalue"":0}",HP%,11,"{""enchanted"":false,""gvalue"":0}",FALSE,84.23,Guard,3,5,15,DEF flat,CRate,4
ACC,13,"{""enchanted"":false,""gvalue"":0}",RES,16,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",FALSE,85.93,Guard,3,6,12,DEF flat,,0
CRate,5,"{""enchanted"":false,""gvalue"":0}",RES,8,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",CDmg,14,"{""enchanted"":false,""gvalue"":0}",FALSE,75,Guard,3,6,6,DEF flat,,0
HP flat,397,"{""enchanted"":false,""gvalue"":0}",DEF%,13,"{""enchanted"":false,""gvalue"":0}",ACC,10,"{""enchanted"":false,""gvalue"":0}",HP%,16,"{""enchanted"":false,""gvalue"":0}",FALSE,74.32,Guard,3,6,12,DEF flat,,0
CDmg,21,"{""enchanted"":false,""gvalue"":0}",CRate,11,"{""enchanted"":false,""gvalue"":0}",DEF%,7,"{""enchanted"":false,""gvalue"":0}",,0,{},TRUE,82.74,Guard,3,6,9,DEF flat,ACC,7
HP flat,330,"{""enchanted"":false,""gvalue"":0}",RES,5,"{""enchanted"":false,""gvalue"":0}",DEF%,20,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",FALSE,72.4,Guard,3,6,9,DEF flat,,0
DEF%,19,"{""enchanted"":false,""gvalue"":6}",SPD,14,"{""enchanted"":false,""gvalue"":4}",HP%,18,"{""enchanted"":false,""gvalue"":7}",ATK%,15,"{""enchanted"":true,""gvalue"":6}",FALSE,103.27,Guard,4,6,12,CDmg,RES,5
SPD,18,"{""enchanted"":false,""gvalue"":2}",RES,7,"{""enchanted"":false,""gvalue"":0}",DEF%,12,"{""enchanted"":false,""gvalue"":0}",HP flat,371,"{""enchanted"":false,""gvalue"":0}",FALSE,77.64,Guard,4,6,12,HP%,,0
CRate,16,"{""enchanted"":false,""gvalue"":0}",DEF%,9,"{""enchanted"":false,""gvalue"":3}",SPD,12,"{""enchanted"":false,""gvalue"":3}",ACC,5,"{""enchanted"":false,""gvalue"":0}",FALSE,86.65,Guard,5,6,15,HP flat,CDmg,5
DEF%,7,"{""enchanted"":false,""gvalue"":0}",ACC,20,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,72.32,Guard,5,6,10,HP flat,,0
DEF%,21,"{""enchanted"":false,""gvalue"":6}",HP%,14,"{""enchanted"":true,""gvalue"":6}",SPD,19,"{""enchanted"":false,""gvalue"":3}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",FALSE,100.81,Guard,5,6,12,HP flat,CRate,6
HP%,19,"{""enchanted"":false,""gvalue"":6}",CRate,12,"{""enchanted"":false,""gvalue"":0}",SPD,19,"{""enchanted"":false,""gvalue"":4}",DEF%,15,"{""enchanted"":true,""gvalue"":6}",FALSE,102.98,Guard,5,6,12,HP flat,,0
RES,10,"{""enchanted"":false,""gvalue"":0}",SPD,17,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":false,""gvalue"":0}",FALSE,83.93,Guard,5,6,12,HP flat,,0
CRate,15,"{""enchanted"":false,""gvalue"":0}",CDmg,6,"{""enchanted"":false,""gvalue"":0}",ATK flat,32,"{""enchanted"":false,""gvalue"":16}",HP%,31,"{""enchanted"":false,""gvalue"":7}",FALSE,98.44,Guard,6,6,15,ATK%,DEF%,6
ACC,7,"{""enchanted"":false,""gvalue"":0}",SPD,12,"{""enchanted"":false,""gvalue"":2}",HP%,21,"{""enchanted"":false,""gvalue"":0}",HP flat,214,"{""enchanted"":false,""gvalue"":0}",FALSE,77.04,Guard,6,6,12,DEF%,,0
HP%,16,"{""enchanted"":false,""gvalue"":0}",DEF%,13,"{""enchanted"":false,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,67.56,Guard,6,6,9,RES,,0
CRate,8,"{""enchanted"":false,""gvalue"":0}",HP flat,289,"{""enchanted"":false,""gvalue"":0}",RES,6,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",FALSE,64.95,Swift,1,6,6,ATK flat,,0
SPD,16,"{""enchanted"":false,""gvalue"":0}",ACC,6,"{""enchanted"":false,""gvalue"":0}",CDmg,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,72.36,Swift,1,6,9,ATK flat,,0
ACC,15,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",RES,13,"{""enchanted"":false,""gvalue"":0}",FALSE,79.17,Swift,1,6,12,ATK flat,,0
SPD,10,"{""enchanted"":false,""gvalue"":0}",CRate,16,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":false,""gvalue"":0}",ACC,5,"{""enchanted"":false,""gvalue"":0}",FALSE,83.63,Swift,1,6,12,ATK flat,RES,6
CDmg,19,"{""enchanted"":false,""gvalue"":0}",HP%,7,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",RES,7,"{""enchanted"":false,""gvalue"":0}",FALSE,79.51,Swift,1,6,12,ATK flat,,0
SPD,6,"{""enchanted"":false,""gvalue"":0}",HP flat,405,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",RES,14,"{""enchanted"":false,""gvalue"":0}",FALSE,63.3,Swift,1,6,9,ATK flat,,0
CDmg,14,"{""enchanted"":false,""gvalue"":0}",ATK flat,41,"{""enchanted"":true,""gvalue"":16}",SPD,16,"{""enchanted"":false,""gvalue"":0}",ACC,7,"{""enchanted"":false,""gvalue"":0}",FALSE,85.3,Swift,2,6,15,ATK%,DEF flat,15
CRate,18,"{""enchanted"":false,""gvalue"":0}",HP%,6,"{""enchanted"":false,""gvalue"":0}",HP flat,476,"{""enchanted"":false,""gvalue"":0}",ATK flat,19,"{""enchanted"":false,""gvalue"":0}",FALSE,70.43,Swift,2,6,15,ATK%,,0
ACC,14,"{""enchanted"":false,""gvalue"":0}",RES,15,"{""enchanted"":false,""gvalue"":0}",SPD,4,"{""enchanted"":false,""gvalue"":0}",HP%,5,"{""enchanted"":false,""gvalue"":0}",FALSE,70.83,Swift,3,6,12,DEF flat,,0
CRate,5,"{""enchanted"":false,""gvalue"":0}",HP flat,785,"{""enchanted"":false,""gvalue"":0}",HP%,8,"{""enchanted"":false,""gvalue"":0}",CDmg,14,"{""enchanted"":false,""gvalue"":0}",FALSE,70.57,Swift,3,6,12,DEF flat,,0
CDmg,17,"{""enchanted"":false,""gvalue"":0}",ACC,9,"{""enchanted"":false,""gvalue"":0}",RES,4,"{""enchanted"":false,""gvalue"":0}",DEF%,10,"{""enchanted"":false,""gvalue"":0}",FALSE,76.52,Swift,3,6,12,DEF flat,HP flat,307
ACC,11,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",SPD,15,"{""enchanted"":false,""gvalue"":0}",HP flat,429,"{""enchanted"":false,""gvalue"":278}",FALSE,77.9,Swift,3,6,12,DEF flat,HP%,5
DEF%,14,"{""enchanted"":false,""gvalue"":0}",RES,16,"{""enchanted"":false,""gvalue"":0}",ACC,17,"{""enchanted"":false,""gvalue"":0}",SPD,4,"{""enchanted"":false,""gvalue"":0}",FALSE,87.2,Swift,3,6,12,DEF flat,CRate,4
CDmg,13,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,80.82,Swift,3,6,9,DEF flat,ACC,7
HP%,5,"{""enchanted"":false,""gvalue"":0}",CDmg,25,"{""enchanted"":false,""gvalue"":0}",SPD,4,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,76.7,Swift,3,6,9,DEF flat,DEF%,7
CRate,5,"{""enchanted"":false,""gvalue"":0}",RES,22,"{""enchanted"":false,""gvalue"":0}",HP%,5,"{""enchanted"":false,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",FALSE,71.73,Swift,3,6,9,DEF flat,,0
CRate,11,"{""enchanted"":false,""gvalue"":0}",CDmg,12,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",RES,6,"{""enchanted"":false,""gvalue"":0}",FALSE,82.78,Swift,3,6,12,DEF flat,ACC,5
HP flat,583,"{""enchanted"":false,""gvalue"":315}",RES,20,"{""enchanted"":false,""gvalue"":0}",DEF%,20,"{""enchanted"":false,""gvalue"":4}",HP%,18,"{""enchanted"":false,""gvalue"":5}",FALSE,99.17,Swift,3,6,12,DEF flat,CDmg,6
SPD,4,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":false,""gvalue"":0}",RES,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,68.66,Swift,3,6,6,DEF flat,CDmg,4
CDmg,5,"{""enchanted"":false,""gvalue"":0}",HP%,5,"{""enchanted"":false,""gvalue"":0}",ACC,29,"{""enchanted"":false,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",FALSE,77.13,Swift,3,6,12,DEF flat,,0
ATK%,28,"{""enchanted"":false,""gvalue"":6}",SPD,9,"{""enchanted"":false,""gvalue"":0}",RES,6,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,80.18,Swift,4,6,9,CDmg,DEF flat,19
CDmg,6,"{""enchanted"":false,""gvalue"":0}",ATK%,15,"{""enchanted"":false,""gvalue"":2}",CRate,14,"{""enchanted"":false,""gvalue"":0}",DEF%,9,"{""enchanted"":true,""gvalue"":0}",FALSE,79.93,Swift,5,6,12,HP flat,,0
CDmg,11,"{""enchanted"":false,""gvalue"":0}",CRate,12,"{""enchanted"":false,""gvalue"":0}",ATK%,21,"{""enchanted"":false,""gvalue"":7}",SPD,4,"{""enchanted"":true,""gvalue"":0}",FALSE,90.99,Blade,1,6,12,ATK flat,RES,7
ATK%,16,"{""enchanted"":false,""gvalue"":9}",CDmg,20,"{""enchanted"":false,""gvalue"":0}",SPD,14,"{""enchanted"":false,""gvalue"":4}",HP%,13,"{""enchanted"":false,""gvalue"":6}",FALSE,103.44,Blade,1,6,12,ATK flat,CRate,4
SPD,12,"{""enchanted"":false,""gvalue"":0}",CRate,11,"{""enchanted"":false,""gvalue"":0}",HP%,20,"{""enchanted"":false,""gvalue"":7}",HP flat,246,"{""enchanted"":false,""gvalue"":0}",FALSE,89.55,Blade,1,6,12,ATK flat,ACC,7
SPD,18,"{""enchanted"":false,""gvalue"":3}",CRate,5,"{""enchanted"":false,""gvalue"":0}",ATK%,18,"{""enchanted"":false,""gvalue"":5}",CDmg,6,"{""enchanted"":true,""gvalue"":0}",FALSE,89.75,Blade,1,6,12,ATK flat,HP%,5
CRate,5,"{""enchanted"":false,""gvalue"":0}",CDmg,10,"{""enchanted"":false,""gvalue"":0}",ATK%,30,"{""enchanted"":false,""gvalue"":7}",SPD,9,"{""enchanted"":false,""gvalue"":3}",FALSE,94.73,Blade,1,6,12,ATK flat,HP%,6
ATK%,25,"{""enchanted"":false,""gvalue"":5}",SPD,14,"{""enchanted"":false,""gvalue"":4}",HP%,13,"{""enchanted"":false,""gvalue"":5}",ACC,7,"{""enchanted"":false,""gvalue"":0}",FALSE,95.9,Blade,1,6,12,ATK flat,HP flat,351
CDmg,11,"{""enchanted"":false,""gvalue"":0}",SPD,15,"{""enchanted"":false,""gvalue"":0}",ATK%,8,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",FALSE,81.46,Blade,1,6,12,ATK flat,ACC,4
ATK%,28,"{""enchanted"":false,""gvalue"":7}",CRate,6,"{""enchanted"":false,""gvalue"":0}",CDmg,14,"{""enchanted"":false,""gvalue"":0}",SPD,14,"{""enchanted"":false,""gvalue"":3}",FALSE,105.06,Blade,1,6,15,ATK flat,HP%,7
HP%,11,"{""enchanted"":false,""gvalue"":0}",DEF%,21,"{""enchanted"":false,""gvalue"":0}",SPD,4,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",FALSE,73.13,Blade,2,6,12,ATK%,,0
SPD,11,"{""enchanted"":false,""gvalue"":0}",DEF%,14,"{""enchanted"":false,""gvalue"":0}",RES,4,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,69.35,Blade,2,6,6,ATK%,HP%,5
SPD,16,"{""enchanted"":false,""gvalue"":0}",ACC,14,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,77.68,Blade,3,6,9,DEF flat,HP%,5
CDmg,24,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",RES,4,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,69.73,Blade,3,6,9,DEF flat,,0
CRate,6,"{""enchanted"":false,""gvalue"":0}",CDmg,19,"{""enchanted"":false,""gvalue"":0}",RES,17,"{""enchanted"":false,""gvalue"":0}",HP flat,350,"{""enchanted"":false,""gvalue"":0}",FALSE,86.11,Blade,3,6,12,DEF flat,ACC,6
CDmg,5,"{""enchanted"":false,""gvalue"":0}",CRate,23,"{""enchanted"":false,""gvalue"":0}",ACC,7,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":6}",FALSE,92.3,Blade,3,6,12,DEF flat,DEF%,6
ATK flat,13,"{""enchanted"":false,""gvalue"":0}",SPD,15,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,67.8,Blade,4,6,9,CDmg,,0
CRate,18,"{""enchanted"":false,""gvalue"":0}",ACC,12,"{""enchanted"":false,""gvalue"":0}",ATK%,8,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,79.76,Blade,4,6,9,CDmg,SPD,4
CDmg,13,"{""enchanted"":false,""gvalue"":0}",ATK%,27,"{""enchanted"":false,""gvalue"":6}",RES,4,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":7}",FALSE,88.27,Blade,5,6,12,HP flat,,0
SPD,24,"{""enchanted"":false,""gvalue"":3}",ATK%,15,"{""enchanted"":false,""gvalue"":7}",ACC,5,"{""enchanted"":false,""gvalue"":0}",DEF flat,12,"{""enchanted"":false,""gvalue"":0}",FALSE,84.29,Blade,5,6,12,HP flat,,0
SPD,13,"{""enchanted"":false,""gvalue"":3}",DEF%,19,"{""enchanted"":false,""gvalue"":7}",CRate,15,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":6}",FALSE,98.51,Blade,5,6,12,HP flat,,0
RES,4,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",ATK%,24,"{""enchanted"":false,""gvalue"":4}",ACC,17,"{""enchanted"":false,""gvalue"":0}",FALSE,82.83,Blade,6,6,15,HP%,DEF flat,16
SPD,11,"{""enchanted"":false,""gvalue"":3}",DEF%,11,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":true,""gvalue"":0}",ACC,12,"{""enchanted"":false,""gvalue"":0}",FALSE,74.11,Blade,6,6,15,ATK%,,0
HP flat,431,"{""enchanted"":false,""gvalue"":0}",RES,11,"{""enchanted"":false,""gvalue"":0}",ATK%,5,"{""enchanted"":false,""gvalue"":0}",HP%,21,"{""enchanted"":false,""gvalue"":0}",FALSE,72.85,Rage,1,6,12,ATK flat,,0
SPD,9,"{""enchanted"":false,""gvalue"":4}",ATK%,10,"{""enchanted"":true,""gvalue"":5}",CDmg,20,"{""enchanted"":false,""gvalue"":0}",RES,7,"{""enchanted"":false,""gvalue"":0}",FALSE,87.97,Rage,1,6,12,ATK flat,CRate,5
ATK%,10,"{""enchanted"":false,""gvalue"":5}",CDmg,20,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":true,""gvalue"":0}",SPD,6,"{""enchanted"":false,""gvalue"":0}",FALSE,79.34,Rage,1,6,15,ATK flat,,0
ATK%,23,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,72.83,Rage,1,6,9,ATK flat,,0
CRate,11,"{""enchanted"":false,""gvalue"":0}",SPD,14,"{""enchanted"":false,""gvalue"":0}",HP flat,239,"{""enchanted"":false,""gvalue"":0}",ACC,10,"{""enchanted"":false,""gvalue"":0}",FALSE,83.82,Rage,1,6,12,ATK flat,RES,8
HP%,7,"{""enchanted"":false,""gvalue"":0}",ATK%,29,"{""enchanted"":false,""gvalue"":6}",CRate,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,73.81,Rage,1,6,9,ATK flat,,0
ATK%,6,"{""enchanted"":false,""gvalue"":0}",HP flat,371,"{""enchanted"":false,""gvalue"":0}",CRate,20,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":false,""gvalue"":0}",FALSE,79.64,Rage,1,6,12,ATK flat,CDmg,4
SPD,12,"{""enchanted"":false,""gvalue"":0}",CDmg,13,"{""enchanted"":false,""gvalue"":0}",HP flat,328,"{""enchanted"":false,""gvalue"":0}",RES,8,"{""enchanted"":false,""gvalue"":0}",FALSE,78,Rage,1,6,12,ATK flat,ATK%,5
CRate,16,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":true,""gvalue"":0}",ATK%,19,"{""enchanted"":false,""gvalue"":6}",SPD,9,"{""enchanted"":false,""gvalue"":3}",FALSE,89.58,Rage,1,6,12,ATK flat,,0
CRate,6,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",ACC,11,"{""enchanted"":false,""gvalue"":0}",HP%,18,"{""enchanted"":false,""gvalue"":0}",FALSE,81.85,Rage,1,6,12,ATK flat,,0
SPD,16,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",ATK%,13,"{""enchanted"":false,""gvalue"":0}",ACC,4,"{""enchanted"":false,""gvalue"":0}",FALSE,74.7,Rage,1,6,12,ATK flat,,0
CRate,22,"{""enchanted"":false,""gvalue"":0}",ACC,7,"{""enchanted"":false,""gvalue"":0}",ATK%,13,"{""enchanted"":false,""gvalue"":6}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",FALSE,91.11,Rage,1,6,12,ATK flat,RES,7
SPD,12,"{""enchanted"":false,""gvalue"":0}",HP%,22,"{""enchanted"":false,""gvalue"":0}",RES,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.11,Rage,1,6,9,ATK flat,,0
HP%,6,"{""enchanted"":false,""gvalue"":0}",ACC,5,"{""enchanted"":false,""gvalue"":0}",CDmg,21,"{""enchanted"":false,""gvalue"":0}",ATK flat,13,"{""enchanted"":false,""gvalue"":0}",FALSE,69.29,Rage,2,6,15,ATK%,,0
CRate,11,"{""enchanted"":false,""gvalue"":0}",CDmg,14,"{""enchanted"":false,""gvalue"":0}",ATK%,9,"{""enchanted"":false,""gvalue"":0}",ACC,25,"{""enchanted"":false,""gvalue"":0}",TRUE,93.45,Rage,2,6,12,SPD,,0
HP%,12,"{""enchanted"":false,""gvalue"":0}",CDmg,19,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",DEF%,6,"{""enchanted"":false,""gvalue"":0}",FALSE,77.13,Rage,3,6,12,DEF flat,,0
HP%,19,"{""enchanted"":false,""gvalue"":6}",DEF%,21,"{""enchanted"":false,""gvalue"":6}",ACC,13,"{""enchanted"":false,""gvalue"":0}",SPD,15,"{""enchanted"":false,""gvalue"":4}",FALSE,100.89,Rage,3,6,12,DEF flat,,0
CDmg,14,"{""enchanted"":false,""gvalue"":0}",HP%,21,"{""enchanted"":false,""gvalue"":0}",SPD,6,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75.89,Rage,3,6,9,DEF flat,,0
RES,12,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":false,""gvalue"":7}",SPD,19,"{""enchanted"":false,""gvalue"":3}",HP%,13,"{""enchanted"":true,""gvalue"":4}",FALSE,99.4,Rage,3,6,12,DEF flat,ACC,6
DEF%,21,"{""enchanted"":false,""gvalue"":5}",RES,15,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":0}",SPD,8,"{""enchanted"":false,""gvalue"":3}",FALSE,91.75,Rage,3,6,12,DEF flat,HP flat,196
CDmg,17,"{""enchanted"":false,""gvalue"":0}",HP%,16,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,78.66,Rage,3,6,9,DEF flat,RES,6
DEF%,9,"{""enchanted"":false,""gvalue"":3}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",HP%,14,"{""enchanted"":false,""gvalue"":0}",CRate,21,"{""enchanted"":false,""gvalue"":0}",FALSE,86.35,Rage,3,6,12,DEF flat,,0
CDmg,7,"{""enchanted"":false,""gvalue"":0}",CRate,15,"{""enchanted"":false,""gvalue"":0}",HP%,15,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.11,Rage,3,6,9,DEF flat,,0
