s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"HP%";8;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"row_17";17;23004530049;0;0;"Inventory";"Inventory";false;76.53;"Energy";4;6;15;"DEF%";63;"CDmg";5;0;"-";"-";"-";5;7;"-";"-";8;"-";15;"-";"Rare";76.53
"HP%";15;{"enchanted":true,"gvalue":4};"CRate";10;{"enchanted":false,"gvalue":0};"SPD";18;{"enchanted":false,"gvalue":4};"HP flat";689;{"enchanted":false,"gvalue":394};"row_18";18;31921582948;0;0;"Inventory";"Inventory";false;89;"Energy";4;6;15;"CDmg";80;"";0;0;"-";"-";"-";"-";"-";"-";"-";15;689;18;10;"Hero";89
"SPD";14;{"enchanted":false,"gvalue":4};"ACC";17;{"enchanted":false,"gvalue":0};"ATK%";14;{"enchanted":false,"gvalue":6};"DEF%";14;{"enchanted":false,"gvalue":6};"row_19";19;21496788856;0;0;"Inventory";"Inventory";false;92.56;"Energy";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";17;14;14;"-";"-";"-";14;"-";"Hero";92.56
"SPD";17;{"enchanted":false,"gvalue":0};"DEF flat";17;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"";0;{};"row_20";20;21767172144;0;0;"Inventory";"Inventory";false;73.93;"Energy";5;6;9;"HP flat";1440;"ATK flat";17;0;"-";"-";"-";"-";"-";"-";17;"-";"-";17;10;"Hero";81.07
"ACC";16;{"enchanted":false,"gvalue":0};"DEF flat";39;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"row_21";21;24197113645;0;0;"Inventory";"Inventory";false;76.01;"Energy";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";16;"-";"-";39;"-";"-";6;10;"Legend";76.01
"SPD";15;{"enchanted":false,"gvalue":3};"CRate";5;{"enchanted":true,"gvalue":0};"CDmg";15;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":7};"row_22";22;31061961093;0;0;"Inventory";"Inventory";false;102.51;"Energy";5;6;15;"HP flat";2448;"HP%";8;0;"-";15;"-";"-";"-";23;"-";"-";"-";15;5;"Legend";102.51
"DEF%";18;{"enchanted":false,"gvalue":6};"CRate";5;{"enchanted":false,"gvalue":0};"HP%";28;{"enchanted":false,"gvalue":6};"SPD";12;{"enchanted":true,"gvalue":4};"row_23";23;38183430997;0;0;"Inventory";"Inventory";false;97.02;"Energy";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";"-";"-";18;"-";28;"-";12;5;"Hero";97.02
"HP%";16;{"enchanted":false,"gvalue":3};"ATK%";27;{"enchanted":false,"gvalue":6};"DEF%";11;{"enchanted":false,"gvalue":6};"SPD";10;{"enchanted":true,"gvalue":4};"row_24";24;38427438234;0;0;"Inventory";"Inventory";false;98.87;"Energy";5;6;12;"HP flat";1800;"ATK flat";17;0;"-";"-";"-";"-";27;11;"-";16;"-";10;"-";"Hero";98.87
"ATK%";7;{"enchanted":false,"gvalue":0};"DEF%";19;{"enchanted":false,"gvalue":0};"HP%";12;{"enchanted":false,"gvalue":0};"";0;{};"row_25";25;38599219220;0;0;"Inventory";"Inventory";false;69.64;"Energy";5;6;9;"HP flat";1440;"";0;0;"-";"-";"-";"-";7;19;"-";12;"-";"-";"-";"Hero";76.79
"CRate";5;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"HP%";20;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"row_26";26;38613397443;0;0;"Inventory";"Inventory";false;81.16;"Energy";5;6;12;"HP flat";1800;"CDmg";4;0;"-";"-";"-";"-";5;"-";"-";20;"-";11;5;"Hero";81.16
"DEF%";20;{"enchanted":false,"gvalue":9};"CRate";5;{"enchanted":false,"gvalue":0};"HP%";31;{"enchanted":false,"gvalue":6};"SPD";10;{"enchanted":true,"gvalue":3};"row_27";27;38599564331;0;0;"Inventory";"Inventory";true;99.11;"Energy";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";"-";"-";20;"-";31;"-";10;5;"Legend";99.11
"CDmg";13;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"HP flat";359;{"enchanted":false,"gvalue":0};"row_28";28;23240629429;0;0;"Inventory";"Inventory";false;76.51;"Energy";6;6;12;"ATK%";47;"DEF%";6;0;"-";13;"-";5;"-";"-";"-";"-";359;"-";12;"Hero";76.51
"ACC";5;{"enchanted":false,"gvalue":0};"ATK flat";28;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"CRate";13;{"enchanted":false,"gvalue":0};"row_29";29;24347578212;0;0;"Inventory";"Inventory";false;72.56;"Energy";6;6;12;"HP%";47;"";0;0;"-";"-";28;5;"-";"-";"-";"-";"-";10;13;"Legend";72.56
"ACC";12;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"HP%";20;{"enchanted":false,"gvalue":7};"DEF flat";11;{"enchanted":false,"gvalue":0};"row_30";30;21972733913;0;0;"Inventory";"Inventory";false;76.96;"Energy";6;6;15;"DEF%";63;"";0;0;12;"-";"-";12;"-";"-";11;20;"-";"-";"-";"Hero";76.96
"ATK%";25;{"enchanted":false,"gvalue":5};"ACC";6;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":4};"HP%";11;{"enchanted":true,"gvalue":0};"row_31";31;26151216048;0;0;"Inventory";"Inventory";false;96.34;"Guard";1;6;12;"ATK flat";118;"CDmg";4;0;"-";"-";"-";6;25;"-";"-";11;"-";16;"-";"Hero";96.34
"HP%";19;{"enchanted":false,"gvalue":7};"ATK%";33;{"enchanted":false,"gvalue":7};"SPD";10;{"enchanted":true,"gvalue":4};"CRate";5;{"enchanted":false,"gvalue":0};"row_32";32;32031540050;0;0;"Inventory";"Inventory";false;100;"Guard";1;6;12;"ATK flat";118;"";0;0;"-";"-";"-";"-";33;"-";"-";19;"-";10;5;"Legend";100
"ACC";15;{"enchanted":false,"gvalue":0};"ATK%";26;{"enchanted":false,"gvalue":7};"HP%";13;{"enchanted":false,"gvalue":6};"CRate";11;{"enchanted":false,"gvalue":0};"row_33";33;36893315905;0;0;"Inventory";"Inventory";false;101.49;"Guard";1;6;12;"ATK flat";118;"RES";5;0;"-";"-";"-";15;26;"-";"-";13;"-";"-";11;"Legend";101.49
"HP%";14;{"enchanted":true,"gvalue":6};"CDmg";13;{"enchanted":false,"gvalue":0};"ACC";15;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":4};"row_34";34;37607848616;0;0;"Inventory";"Inventory";false;101.06;"Guard";1;6;12;"ATK flat";118;"RES";4;0;"-";13;"-";15;"-";"-";"-";14;"-";19;"-";"Legend";101.06
"HP%";12;{"enchanted":false,"gvalue":4};"ACC";20;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":7};"RES";16;{"enchanted":false,"gvalue":0};"row_35";35;37863491703;0;0;"Inventory";"Inventory";false;96.43;"Guard";1;6;12;"ATK flat";118;"CRate";6;0;16;"-";"-";20;12;"-";"-";12;"-";"-";"-";"Legend";96.43
"CRate";5;{"enchanted":false,"gvalue":0};"CDmg";19;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":4};"HP%";8;{"enchanted":false,"gvalue":0};"row_36";36;37875201327;0;0;"Inventory";"Inventory";false;91.41;"Guard";1;6;12;"ATK flat";118;"RES";6;0;"-";19;"-";"-";"-";"-";"-";8;"-";15;5;"Hero";91.41
"RES";22;{"enchanted":false,"gvalue":0};"ATK%";24;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"HP flat";302;{"enchanted":false,"gvalue":0};"row_37";37;38475059176;0;0;"Inventory";"Inventory";true;85.61;"Guard";1;6;12;"ATK flat";118;"";0;0;22;"-";"-";"-";24;"-";"-";"-";302;"-";5;"Legend";85.61
"SPD";16;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"";0;{};"row_38";38;38547875275;0;0;"Inventory";"Inventory";false;75.51;"Guard";1;6;9;"ATK flat";94;"CRate";5;0;"-";4;"-";12;"-";"-";"-";"-";"-";16;"-";"Hero";82.65
"HP flat";566;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"SPD";21;{"enchanted":false,"gvalue":3};"";0;{};"row_39";39;36792163579;0;0;"Inventory";"Inventory";false;76.82;"Guard";1;6;9;"ATK flat";94;"RES";6;0;"-";"-";"-";"-";"-";"-";"-";6;566;21;"-";"Hero";83.96
"CRate";10;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"CDmg";19;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"row_40";40;37861092562;0;0;"Inventory";"Inventory";false;78.61;"Guard";2;6;12;"SPD";31;"";0;0;"-";19;"-";8;"-";"-";"-";5;"-";"-";10;"Hero";78.61
"SPD";9;{"enchanted":false,"gvalue":3};"DEF%";18;{"enchanted":false,"gvalue":4};"HP%";17;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"row_41";41;37358426356;0;0;"Inventory";"Inventory";false;86.9;"Guard";3;6;12;"DEF flat";118;"RES";5;0;"-";"-";"-";"-";"-";18;"-";17;"-";9;4;"Hero";86.9
"RES";7;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":0};"";0;{};"row_42";42;37469021224;0;0;"Inventory";"Inventory";false;77.68;"Guard";3;6;9;"DEF flat";94;"ACC";8;0;7;"-";"-";"-";"-";12;"-";"-";"-";"-";15;"Hero";84.82
"SPD";11;{"enchanted":false,"gvalue":0};"CDmg";20;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"";0;{};"row_43";43;37536955307;0;0;"Inventory";"Inventory";false;74.9;"Guard";3;6;9;"DEF flat";94;"HP flat";222;0;4;20;"-";"-";"-";"-";"-";"-";"-";11;"-";"Hero";82.05
"DEF%";16;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"";0;{};"row_44";44;37596199931;0;0;"Inventory";"Inventory";false;73.81;"Guard";3;6;9;"DEF flat";94;"";0;0;12;"-";"-";"-";"-";16;"-";"-";"-";11;"-";"Hero";80.95
"RES";11;{"enchanted":false,"gvalue":0};"HP%";22;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"row_45";45;37672815985;0;0;"Inventory";"Inventory";false;84.82;"Guard";3;6;9;"DEF flat";94;"SPD";6;0;11;7;"-";6;"-";"-";"-";22;"-";"-";"-";"Legend";91.96
"DEF%";23;{"enchanted":false,"gvalue":7};"HP%";17;{"enchanted":false,"gvalue":6};"RES";12;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":false,"gvalue":0};"row_46";46;37798152004;0;0;"Inventory";"Inventory";false;97.62;"Guard";3;6;12;"DEF flat";118;"SPD";4;0;12;"-";"-";"-";"-";23;"-";17;"-";"-";9;"Legend";97.62
"HP flat";195;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":8};"CDmg";13;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"row_47";47;38260572917;0;0;"Inventory";"Inventory";true;89.23;"Guard";3;6;12;"DEF flat";118;"";0;0;"-";13;"-";"-";"-";23;"-";"-";195;"-";15;"Legend";89.23
"RES";21;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":0};"HP flat";274;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"row_48";48;38307128029;0;0;"Inventory";"Inventory";false;81.18;"Guard";3;6;12;"DEF flat";118;"HP%";7;0;21;7;"-";"-";"-";12;"-";"-";274;"-";"-";"Hero";81.18
"HP%";11;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"";0;{};"row_49";49;38547601228;0;0;"Inventory";"Inventory";false;74.11;"Guard";3;6;9;"DEF flat";94;"CRate";5;0;4;"-";"-";"-";"-";"-";"-";11;"-";16;"-";"Hero";81.25
"HP flat";412;{"enchanted":false,"gvalue":0};"RES";15;{"enchanted":false,"gvalue":0};"DEF%";25;{"enchanted":false,"gvalue":5};"HP%";17;{"enchanted":false,"gvalue":6};"row_50";50;37335771949;0;0;"Inventory";"Inventory";true;90.53;"Guard";3;6;12;"DEF flat";118;"";0;0;15;"-";"-";"-";"-";25;"-";17;412;"-";"-";"Legend";90.53
"CRate";4;{"enchanted":false,"gvalue":0};"HP flat";368;{"enchanted":false,"gvalue":0};"SPD";24;{"enchanted":false,"gvalue":4};"";0;{};"row_51";51;36774212838;0;0;"Inventory";"Inventory";false;72.55;"Guard";3;6;9;"DEF flat";94;"";0;0;"-";"-";"-";"-";"-";"-";"-";"-";368;24;4;"Hero";79.7
"DEF%";27;{"enchanted":false,"gvalue":6};"CRate";10;{"enchanted":false,"gvalue":0};"RES";7;{"enchanted":false,"gvalue":0};"HP%";13;{"enchanted":false,"gvalue":7};"row_52";52;31247494788;0;0;"Inventory";"Inventory";false;89.58;"Guard";3;6;15;"DEF flat";160;"";0;0;7;"-";"-";"-";"-";27;"-";13;"-";"-";10;"Hero";89.58
"CRate";11;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":7};"SPD";12;{"enchanted":false,"gvalue":3};"HP%";5;{"enchanted":false,"gvalue":0};"row_53";53;36895652606;0;0;"Inventory";"Inventory";false;89.41;"Guard";3;6;12;"DEF flat";118;"HP flat";138;0;"-";"-";"-";"-";"-";23;"-";5;"-";12;11;"Hero";89.41
"HP%";27;{"enchanted":false,"gvalue":4};"DEF%";19;{"enchanted":false,"gvalue":7};"CRate";6;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"row_54";54;37917629165;0;0;"Inventory";"Inventory";false;91.07;"Guard";3;6;12;"DEF flat";118;"";0;0;"-";"-";"-";8;"-";19;"-";27;"-";"-";6;"Hero";91.07
"DEF%";18;{"enchanted":false,"gvalue":4};"RES";18;{"enchanted":false,"gvalue":0};"HP flat";371;{"enchanted":false,"gvalue":0};"HP%";15;{"enchanted":false,"gvalue":0};"row_55";55;38627601366;0;0;"Inventory";"Inventory";false;84.78;"Guard";3;6;12;"DEF flat";118;"";0;0;18;"-";"-";"-";"-";18;"-";15;371;"-";"-";"Legend";84.78
"CDmg";10;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":2};"RES";6;{"enchanted":false,"gvalue":0};"";0;{};"row_56";56;31178923207;0;0;"Inventory";"Inventory";false;73.89;"Guard";4;6;9;"CRate";34;"";0;0;6;10;"-";"-";"-";"-";"-";"-";"-";19;"-";"Hero";81.04
"SPD";19;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"DEF flat";16;{"enchanted":false,"gvalue":0};"";0;{};"row_57";57;37875284907;0;0;"Inventory";"Inventory";false;67.94;"Guard";4;6;9;"DEF%";38;"HP flat";146;0;"-";"-";"-";"-";"-";"-";16;6;"-";19;"-";"Hero";75.08
"CDmg";7;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":0};"HP%";12;{"enchanted":false,"gvalue":0};"";0;{};"row_58";58;38110567202;0;0;"Inventory";"Inventory";false;76.25;"Guard";4;6;9;"ATK%";38;"ATK flat";12;0;"-";7;"-";"-";"-";23;"-";12;"-";"-";"-";"Hero";83.39
"ATK%";5;{"enchanted":false,"gvalue":0};"HP flat";328;{"enchanted":false,"gvalue":0};"SPD";22;{"enchanted":false,"gvalue":3};"";0;{};"row_59";59;36776679301;0;0;"Inventory";"Inventory";false;69.49;"Guard";4;6;9;"CRate";34;"";0;0;"-";"-";"-";"-";5;"-";"-";"-";328;22;"-";"Hero";76.64
"CRate";6;{"enchanted":false,"gvalue":0};"ATK%";20;{"enchanted":false,"gvalue":7};"HP%";26;{"enchanted":false,"gvalue":5};"SPD";8;{"enchanted":true,"gvalue":3};"row_60";60;23057673695;0;0;"Inventory";"Inventory";false;93.45;"Guard";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";"-";20;"-";"-";26;"-";8;6;"Hero";93.45
"DEF flat";18;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":4};"HP%";14;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":true,"gvalue":5};"row_61";61;37358127862;0;0;"Inventory";"Inventory";false;91.9;"Guard";5;6;12;"HP flat";1800;"RES";8;0;"-";"-";"-";"-";"-";12;18;14;"-";19;"-";"Hero";91.9
"ACC";12;{"enchanted":false,"gvalue":0};"HP%";15;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"";0;{};"row_62";62;37371480179;0;0;"Inventory";"Inventory";false;77.98;"Guard";5;6;9;"HP flat";1440;"DEF%";7;0;"-";"-";"-";12;"-";"-";"-";15;"-";10;"-";"Hero";85.12
"DEF flat";31;{"enchanted":false,"gvalue":14};"RES";8;{"enchanted":false,"gvalue":0};"ACC";30;{"enchanted":false,"gvalue":0};"HP%";11;{"enchanted":false,"gvalue":5};"row_63";63;37435011898;0;0;"Inventory";"Inventory";false;92.14;"Guard";5;6;12;"HP flat";1800;"ATK%";8;0;8;"-";"-";30;"-";"-";31;11;"-";"-";"-";"Hero";92.14
"CRate";15;{"enchanted":false,"gvalue":0};"DEF%";15;{"enchanted":false,"gvalue":0};"ATK flat";17;{"enchanted":false,"gvalue":0};"";0;{};"row_64";64;37474885075;0;0;"Inventory";"Inventory";false;70;"Guard";5;6;9;"HP flat";1440;"";0;0;"-";"-";17;"-";"-";15;"-";"-";"-";"-";15;"Hero";77.14
"SPD";5;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"CRate";18;{"enchanted":false,"gvalue":0};"";0;{};"row_65";65;37630289414;0;0;"Inventory";"Inventory";false;74.32;"Guard";5;6;9;"HP flat";1440;"";0;0;"-";11;"-";"-";"-";"-";"-";"-";"-";5;18;"Hero";81.46
"ATK flat";29;{"enchanted":false,"gvalue":0};"DEF%";21;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"";0;{};"row_66";66;37858216706;0;0;"Inventory";"Inventory";false;71.89;"Guard";5;6;9;"HP flat";1440;"CRate";6;0;"-";5;29;"-";"-";21;"-";"-";"-";"-";"-";"Hero";79.03
"ATK%";13;{"enchanted":false,"gvalue":5};"CDmg";5;{"enchanted":true,"gvalue":0};"CRate";21;{"enchanted":false,"gvalue":0};"DEF%";11;{"enchanted":false,"gvalue":5};"row_67";67;38095149860;0;0;"Inventory";"Inventory";false;87.24;"Guard";5;6;12;"HP flat";1800;"";0;0;"-";5;"-";"-";13;11;"-";"-";"-";"-";21;"Hero";87.24
"CRate";12;{"enchanted":false,"gvalue":0};"ATK%";14;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"";0;{};"row_68";68;38548332385;0;0;"Inventory";"Inventory";false;73.72;"Guard";5;6;9;"HP flat";1440;"";0;0;"-";11;"-";"-";14;"-";"-";"-";"-";"-";12;"Hero";80.87
"DEF flat";34;{"enchanted":false,"gvalue":15};"HP%";27;{"enchanted":false,"gvalue":5};"ATK%";19;{"enchanted":false,"gvalue":6};"RES";8;{"enchanted":true,"gvalue":0};"row_69";69;37173424238;0;0;"Inventory";"Inventory";false;96.25;"Guard";5;6;12;"HP flat";1800;"DEF%";7;0;8;"-";"-";"-";19;"-";34;27;"-";"-";"-";"Hero";96.25
"HP%";28;{"enchanted":false,"gvalue":6};"ATK%";13;{"enchanted":false,"gvalue":5};"RES";12;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":true,"gvalue":4};"row_70";70;37536939953;0;0;"Inventory";"Inventory";false;96.64;"Guard";5;6;12;"HP flat";1800;"CDmg";4;0;12;"-";"-";"-";13;"-";"-";28;"-";8;"-";"Hero";96.64
