s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"CRate";5;{"enchanted":false,"gvalue":0};"HP flat";785;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"row_51";51;30667493896;0;0;"Inventory";"Inventory";false;70.57;"Swift";3;6;12;"DEF flat";118;"";0;0;"-";14;"-";"-";"-";"-";"-";8;785;"-";5;"Legend";70.57
"CDmg";17;{"enchanted":false,"gvalue":0};"ACC";9;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"DEF%";10;{"enchanted":false,"gvalue":0};"row_52";52;31835468875;0;0;"Inventory";"Inventory";false;76.52;"Swift";3;6;12;"DEF flat";118;"HP flat";307;0;4;17;"-";9;"-";10;"-";"-";"-";"-";"-";"Legend";76.52
"DEF%";14;{"enchanted":false,"gvalue":0};"RES";16;{"enchanted":false,"gvalue":0};"ACC";17;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"row_53";53;34122056256;0;0;"Inventory";"Inventory";false;87.2;"Swift";3;6;12;"DEF flat";118;"CRate";4;0;16;"-";"-";17;"-";14;"-";"-";"-";4;"-";"Legend";87.2
"CDmg";13;{"enchanted":false,"gvalue":0};"HP%";14;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"";0;{};"row_54";54;36682922192;0;0;"Inventory";"Inventory";false;80.82;"Swift";3;6;9;"DEF flat";94;"ACC";7;0;"-";13;"-";"-";"-";"-";"-";14;"-";11;"-";"Hero";87.97
"HP%";5;{"enchanted":false,"gvalue":0};"CDmg";25;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"";0;{};"row_55";55;36790162479;0;0;"Inventory";"Inventory";false;76.7;"Swift";3;6;9;"DEF flat";94;"DEF%";7;0;"-";25;"-";"-";"-";"-";"-";5;"-";4;"-";"Hero";83.84
"CRate";5;{"enchanted":false,"gvalue":0};"RES";22;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_56";56;36937385398;0;0;"Inventory";"Inventory";false;71.73;"Swift";3;6;9;"DEF flat";94;"";0;0;22;"-";"-";"-";"-";"-";"-";5;"-";5;5;"Legend";78.87
"HP flat";583;{"enchanted":false,"gvalue":315};"RES";20;{"enchanted":false,"gvalue":0};"DEF%";20;{"enchanted":false,"gvalue":4};"HP%";18;{"enchanted":false,"gvalue":5};"row_57";57;38533397873;0;0;"Inventory";"Inventory";false;99.17;"Swift";3;6;12;"DEF flat";118;"CDmg";6;0;20;"-";"-";"-";"-";20;"-";18;583;"-";"-";"Legend";99.17
"SPD";4;{"enchanted":false,"gvalue":0};"DEF%";15;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"";0;{};"row_58";58;38550885676;0;0;"Inventory";"Inventory";false;68.66;"Swift";3;6;6;"DEF flat";70;"CDmg";4;0;12;"-";"-";"-";"-";15;"-";"-";"-";4;"-";"Hero";82.95
"CDmg";5;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"ACC";29;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_59";59;32869589465;0;0;"Inventory";"Inventory";false;77.13;"Swift";3;6;12;"DEF flat";118;"";0;0;"-";5;"-";29;"-";"-";"-";5;"-";5;"-";"Hero";77.13
"CDmg";11;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"ATK%";21;{"enchanted":false,"gvalue":7};"SPD";4;{"enchanted":true,"gvalue":0};"row_60";60;32489245462;0;0;"Inventory";"Inventory";false;90.99;"Blade";1;6;12;"ATK flat";118;"RES";7;0;"-";11;"-";"-";21;"-";"-";"-";"-";4;12;"Hero";90.99
"ATK%";16;{"enchanted":false,"gvalue":9};"CDmg";20;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":4};"HP%";13;{"enchanted":false,"gvalue":6};"row_61";61;33446055461;0;0;"Inventory";"Inventory";false;103.44;"Blade";1;6;12;"ATK flat";118;"CRate";4;0;"-";20;"-";"-";16;"-";"-";13;"-";14;"-";"Hero";103.44
"SPD";12;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"HP%";20;{"enchanted":false,"gvalue":7};"HP flat";246;{"enchanted":false,"gvalue":0};"row_62";62;36050496968;0;0;"Inventory";"Inventory";false;89.55;"Blade";1;6;12;"ATK flat";118;"ACC";7;0;"-";"-";"-";"-";"-";"-";"-";20;246;12;11;"Hero";89.55
"SPD";18;{"enchanted":false,"gvalue":3};"CRate";5;{"enchanted":false,"gvalue":0};"ATK%";18;{"enchanted":false,"gvalue":5};"CDmg";6;{"enchanted":true,"gvalue":0};"row_63";63;36427606596;0;0;"Inventory";"Inventory";false;89.75;"Blade";1;6;12;"ATK flat";118;"HP%";5;0;"-";6;"-";"-";18;"-";"-";"-";"-";18;5;"Hero";89.75
"CRate";5;{"enchanted":false,"gvalue":0};"CDmg";10;{"enchanted":false,"gvalue":0};"ATK%";30;{"enchanted":false,"gvalue":7};"SPD";9;{"enchanted":false,"gvalue":3};"row_64";64;36510747517;0;0;"Inventory";"Inventory";false;94.73;"Blade";1;6;12;"ATK flat";118;"HP%";6;0;"-";10;"-";"-";30;"-";"-";"-";"-";9;5;"Hero";94.73
"ATK%";25;{"enchanted":false,"gvalue":5};"SPD";14;{"enchanted":false,"gvalue":4};"HP%";13;{"enchanted":false,"gvalue":5};"ACC";7;{"enchanted":false,"gvalue":0};"row_65";65;36663066885;0;0;"Inventory";"Inventory";false;95.9;"Blade";1;6;12;"ATK flat";118;"HP flat";351;0;"-";"-";"-";7;25;"-";"-";13;"-";14;"-";"Hero";95.9
"CDmg";11;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"row_66";66;36766838159;0;0;"Inventory";"Inventory";false;81.46;"Blade";1;6;12;"ATK flat";118;"ACC";4;0;"-";11;"-";"-";8;"-";"-";"-";"-";15;5;"Hero";81.46
"ATK%";28;{"enchanted":false,"gvalue":7};"CRate";6;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":3};"row_67";67;37272455716;0;0;"Inventory";"Inventory";false;105.06;"Blade";1;6;15;"ATK flat";160;"HP%";7;0;"-";14;"-";"-";28;"-";"-";"-";"-";14;6;"Legend";105.06
"HP%";11;{"enchanted":false,"gvalue":0};"DEF%";21;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"row_68";68;32640827702;0;0;"Inventory";"Inventory";false;73.13;"Blade";2;6;12;"ATK%";47;"";0;0;"-";4;"-";"-";"-";21;"-";11;"-";4;"-";"Hero";73.13
"SPD";11;{"enchanted":false,"gvalue":0};"DEF%";14;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"";0;{};"row_69";69;37746544712;0;0;"Inventory";"Inventory";false;69.35;"Blade";2;6;6;"ATK%";29;"HP%";5;0;4;"-";"-";"-";"-";14;"-";"-";"-";11;"-";"Hero";83.63
"SPD";16;{"enchanted":false,"gvalue":0};"ACC";14;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"";0;{};"row_70";70;34009345338;0;0;"Inventory";"Inventory";false;77.68;"Blade";3;6;9;"DEF flat";94;"HP%";5;0;"-";"-";"-";14;"-";"-";"-";"-";"-";16;5;"Hero";84.82
"CDmg";24;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"";0;{};"row_71";71;35834118805;0;0;"Inventory";"Inventory";false;69.73;"Blade";3;6;9;"DEF flat";94;"";0;0;4;24;"-";"-";"-";"-";"-";"-";"-";"-";5;"Hero";76.87
